Sector,Year,Salary
Community and Social Services,2017,107152.5
Community and Social Services,2017,118938.56
Community and Social Services,2017,126455.68
Community and Social Services,2017,118938.56
Community and Social Services,2017,107152.5
Community and Social Services,2017,122442.33
Community and Social Services,2017,118291.94
Community and Social Services,2017,152751.82
Community and Social Services,2017,117703.43
Community and Social Services,2017,107463.79
Community and Social Services,2017,133317.86
Community and Social Services,2017,107152.5
Community and Social Services,2017,118938.56
Community and Social Services,2017,200404.88
Community and Social Services,2017,119196.22
Community and Social Services,2017,107152.5
Community and Social Services,2017,118026.5
Community and Social Services,2017,133317.86
Community and Social Services,2017,112276.84
Community and Social Services,2017,285877.28
Community and Social Services,2017,107152.5
Community and Social Services,2017,107152.5
Community and Social Services,2017,126082.58
Community and Social Services,2017,130791.25
Community and Social Services,2017,129547.34
Community and Social Services,2017,110282.38
Community and Social Services,2017,140268.32
Community and Social Services,2017,118938.56
Community and Social Services,2017,0
Community and Social Services,2017,107976.75
Community and Social Services,2017,107486.86
Community and Social Services,2017,164060.78
Community and Social Services,2017,107152.5
Community and Social Services,2017,113284.74
Community and Social Services,2017,118938.56
Community and Social Services,2017,200404.88
Community and Social Services,2017,118938.56
Community and Social Services,2017,121131
Community and Social Services,2017,118938.56
Community and Social Services,2017,117548.31
Community and Social Services,2017,148588.18
Community and Social Services,2017,164060.78
Community and Social Services,2017,118938.56
Community and Social Services,2017,116989.08
Community and Social Services,2017,107152.5
Community and Social Services,2017,114630.36
Community and Social Services,2017,133317.86
Community and Social Services,2017,112280.74
Community and Social Services,2017,123696.04
Community and Social Services,2017,118938.56
Community and Social Services,2017,115126.27
Community and Social Services,2017,118938.56
Community and Social Services,2017,164060.78
Community and Social Services,2017,133317.86
Community and Social Services,2017,107911.86
Community and Social Services,2017,112276.84
Community and Social Services,2017,133317.86
Community and Social Services,2017,107152.5
Community and Social Services,2017,111422.12
Community and Social Services,2017,151633.56
Community and Social Services,2017,159407.04
Community and Social Services,2017,107152.5
